station_id,StationName,ntd_mode,agency,line_name,facility_type,Year built,Square Feet,Latitude,Longitude,full_address,City,State,County,Zip_Code,Inner_MaxHeight,Inner_MinHeight,Inner_AvgHeight,Inner_BuildingsWithHeight,Inner_TotalBuildings,Inner_TotalFootprint,Inner_AvgFootprint,Middle_MaxHeight,Middle_MinHeight,Middle_AvgHeight,Middle_BuildingsWithHeight,Middle_TotalBuildings,Middle_TotalFootprint,Middle_AvgFootprint,Outer_MaxHeight,Outer_MinHeight,Outer_AvgHeight,Outer_BuildingsWithHeight,Outer_TotalBuildings,Outer_TotalFootprint,Outer_AvgFootprint,HasStepDown_Inner_Middle,HasStepDown_Middle_Outer,ConsistentStepDown
36,ALAMEDA FERRY TERMINAL STATION,Ferry,Alameda/Oakland Ferry,Oakland / Alameda / San Francisco,Ferryboat Terminal,2023,,37.791197,-122.294188,"Main Street Alameda Ferry Terminal, 2990 Main St, Alameda, CA 94501, USA",Alameda,CA,Alameda County,94501,,,,0,16,1892.25,118.27,,,,0,55,19787.91,359.78,2,1,1.5,2,350,138976.44,397.08,FALSE,FALSE,FALSE
37,OAKLAND FERRY TERMINAL STATION,Ferry,Alameda/Oakland Ferry,Oakland / Alameda / San Francisco,Ferryboat Terminal,1991,,37.795011,-122.279758,"10 Clay St, Oakland, CA 94607, USA",Oakland,CA,Alameda County,94607,6,2,3.75,4,14,15319.21,1094.23,18,1,4.25,8,74,60692.99,820.18,15,1,3.18,84,522,336870.94,645.35,FALSE,TRUE,FALSE
38,S.F. FERRY BUILDING STATION,Ferry,Alameda/Oakland Ferry,Oakland / Alameda / San Francisco,Ferryboat Terminal,2003,,37.79564,-122.39361,"1 San Francisco Bay Trail, San Francisco, CA 94111, USA",San Francisco,CA,San Francisco County,94111,3,3,3,1,9,21929.64,2436.63,45,1,9,29,62,76215.17,1229.28,61,1,16.28,101,338,426240.9,1261.07,FALSE,FALSE,FALSE
39,S.F. PIER 41 STATION,Ferry,Alameda/Oakland Ferry,Oakland / Alameda / San Francisco,Ferryboat Terminal,1979,,37.80955,-122.41209,"San Francisco Pier 41 Ferry Terminal, San Francisco, CA 94133, USA",San Francisco,CA,San Francisco County,94133,2,2,2,8,26,14632.95,562.81,3,1,2.33,6,39,62428.1,1600.72,4,1,2.6,25,804,286167.15,355.93,FALSE,FALSE,FALSE
1, 10TH AVENUE STATION,Bus Rapid Transit,Alameda-Contra Costa Transit District (AC Transit),AC Transit Tempo,Simple At-Grade Platform Station,2020,712,37.79201,-122.24949,"10th Avenue NB, Oakland, CA 94606, USA",Oakland,CA,Alameda County,94606,,,,0,185,35991.17,194.55,2,2,2,1,604,104181.86,172.49,18,1,4.95,20,1666,358663.71,215.28,FALSE,FALSE,FALSE
2, 14TH AVENUE STATION,Bus Rapid Transit,Alameda-Contra Costa Transit District (AC Transit),AC Transit Tempo,Simple At-Grade Platform Station,2020,601,37.789251,-122.24568,"14th Av & International Blvd, Oakland, CA 94606, USA",Oakland,CA,Alameda County,94606,2,2,2,1,156,38045.81,243.88,3,3,3,1,383,70166.18,183.2,6,1,3.08,12,1733,315905.95,182.29,FALSE,FALSE,FALSE
3, 14TH STREET STATION,Bus Rapid Transit,Alameda-Contra Costa Transit District (AC Transit),AC Transit Tempo,Simple At-Grade Platform Station,2020,712,37.80427,-122.2712,"14th and, Broadway, Oakland, CA 94612, USA",Broadway,CA,Alameda County,94612,40,1,10.34,32,57,56291.26,987.57,33,1,5.87,110,172,165096.7,959.86,39,1,5.33,213,803,483521.67,602.14,TRUE,FALSE,FALSE
4, 5TH AVENUE STATION,Bus Rapid Transit,Alameda-Contra Costa Transit District (AC Transit),AC Transit Tempo,Simple At-Grade Platform Station,2020,601,37.795951,-122.253992,"442 International Blvd, Oakland, CA 94606, USA",Oakland,CA,Alameda County,94606,,,,0,211,37064.17,175.66,18,1,5.5,6,487,124881.9,256.43,25,4,9.12,8,1418,308607.06,217.64,FALSE,FALSE,FALSE
5, MADISON STATION,Bus Rapid Transit,Alameda-Contra Costa Transit District (AC Transit),AC Transit Tempo,Simple At-Grade Platform Station,2020,601,37.7994019,-122.2653797,"140 11th St, Oakland, CA 94607, USA",Oakland,CA,Alameda County,94607,8,1,4.06,18,73,39812.05,545.37,12,1,4.61,33,224,92339.68,412.23,40,1,5.85,194,547,423422.74,774.08,FALSE,FALSE,FALSE
6, UPTOWN OAKLAND STATION,Bus Rapid Transit,Alameda-Contra Costa Transit District (AC Transit),AC Transit Tempo,Simple At-Grade Platform Station,2020,687,37.8086184,-122.271553,"555 19th St, Oakland, CA 94612, USA",Oakland,CA,Alameda County,94612,7,1,3.4,15,40,31693.64,792.34,39,1,6.35,86,229,155498.16,679.03,40,1,6.77,207,1016,529331.65,521,FALSE,FALSE,FALSE
7,103RD AVENUE  STATION,Bus Rapid Transit,Alameda-Contra Costa Transit District (AC Transit),AC Transit Tempo,Simple At-Grade Platform Station,2020,1064,37.74065,-122.16776,"103rd Avenue, Oakland, CA 94603, USA",Oakland,CA,Alameda County,94603,,,,0,272,38316.88,140.87,6,6,6,1,805,115293.37,143.22,4,1,2.6,5,3656,423013.93,115.7,FALSE,TRUE,FALSE
8,20TH AVENUE STATION,Bus Rapid Transit,Alameda-Contra Costa Transit District (AC Transit),AC Transit Tempo,Simple At-Grade Platform Station,2020,1064,37.7858328,-122.2399891,"1952 International Blvd, Oakland, CA 94606, USA",Oakland,CA,Alameda County,94606,,,,0,223,34346.29,154.02,2,2,2,2,476,86917.47,182.6,3,2,2.25,4,1633,345097.79,211.33,FALSE,FALSE,FALSE
9,24TH AVENUE STATION,Bus Rapid Transit,Alameda-Contra Costa Transit District (AC Transit),AC Transit Tempo,Simple At-Grade Platform Station,2020,1144,37.782578,-122.234592,"24th Avenue, Oakland, CA 94601, USA",Oakland,CA,Alameda County,94601,,,,0,164,42094.77,256.68,9,5,7,2,511,100675.16,197.02,5,2,2.6,5,2330,448609.41,192.54,FALSE,TRUE,FALSE
10,28TH AVENUE STATION,Bus Rapid Transit,Alameda-Contra Costa Transit District (AC Transit),AC Transit Tempo,Simple At-Grade Platform Station,2020,1064,37.779807,-122.2300371,"28th Avenue, Oakland, CA 94601, USA",Oakland,CA,Alameda County,94601,2,2,2,1,162,32365.99,199.79,9,5,7,2,521,106839.42,205.07,5,1,2.75,4,2432,481532,198,FALSE,TRUE,FALSE
11,2ND AVENUE STATION,Bus Rapid Transit,Alameda-Contra Costa Transit District (AC Transit),AC Transit Tempo,Simple At-Grade Platform Station,2020,687,37.7979536,-122.2563476,"161 International Blvd, Oakland, CA 94606, USA",Oakland,CA,Alameda County,94606,25,4,13,4,142,44393.71,312.63,11,3,7,2,278,67780.93,243.82,20,1,4.74,42,1215,316924.92,260.84,TRUE,FALSE,FALSE
12,31ST AVENUE STATION,Bus Rapid Transit,Alameda-Contra Costa Transit District (AC Transit),AC Transit Tempo,Simple At-Grade Platform Station,2020,1064,37.7783413,-122.2273703,"3028 International Blvd, Oakland, CA 94601, USA",Oakland,CA,Alameda County,94601,3,2,2.5,2,118,32197.68,272.86,2,1,1.5,2,460,97209.58,211.33,9,1,5,6,2752,475444.32,172.76,TRUE,FALSE,FALSE
13,39TH AVENUE STATION,Bus Rapid Transit,Alameda-Contra Costa Transit District (AC Transit),AC Transit Tempo,Simple At-Grade Platform Station,2020,1144,37.774502,-122.2193,"39th Avenue, Oakland, CA 94601, USA",Oakland,CA,Alameda County,94601,,,,0,272,45061.03,165.67,4,4,4,1,669,108283.95,161.86,5,1,2.75,4,2161,385624.56,178.45,FALSE,FALSE,FALSE
14,48TH AVENUE STATION,Bus Rapid Transit,Alameda-Contra Costa Transit District (AC Transit),AC Transit Tempo,Simple At-Grade Platform Station,2020,1144,37.7695347,-122.2087259,"5000 CA-185, Oakland, CA 94601, USA",Oakland,CA,Alameda County,94601,,,,0,288,43758.87,151.94,,,,0,723,113874.03,157.5,2,1,1.33,3,2093,508060.56,242.74,FALSE,FALSE,FALSE
15,54TH AVENUE STATION,Bus Rapid Transit,Alameda-Contra Costa Transit District (AC Transit),AC Transit Tempo,Simple At-Grade Platform Station,2020,1144,37.7679772,-122.2055013,"5325 E 14th St, Oakland, CA 94601, USA",Oakland,CA,Alameda County,94601,2,2,2,1,219,74880.36,341.92,,,,0,800,118168.11,147.71,1,1,1,2,2725,513587.4,188.47,FALSE,FALSE,FALSE
16,63RD AVENUE STATION,Bus Rapid Transit,Alameda-Contra Costa Transit District (AC Transit),AC Transit Tempo,Simple At-Grade Platform Station,2020,1064,37.7632177,-122.1955284,"6415 International Blvd, Oakland, CA 94621, USA",Oakland,CA,Alameda County,94621,,,,0,185,32692.09,176.71,,,,0,745,107132.45,143.8,2,1,1.5,2,3386,501426.11,148.09,FALSE,FALSE,FALSE
17,67TH AVENUE STATION,Bus Rapid Transit,Alameda-Contra Costa Transit District (AC Transit),AC Transit Tempo,Simple At-Grade Platform Station,2020,1064,37.7615066,-122.1918862,"6708 International Blvd, Oakland, CA 94621, USA",Oakland,CA,Alameda County,94621,,,,0,173,33112.1,191.4,,,,0,845,99862.82,118.18,5,4,4.33,3,3530,441642.49,125.11,FALSE,FALSE,FALSE
18,73RD AVENUE STATION,Bus Rapid Transit,Alameda-Contra Costa Transit District (AC Transit),AC Transit Tempo,Simple At-Grade Platform Station,2020,1144,37.7597649,-122.1881215,"7200 International Blvd, Oakland, CA 94621, USA",Oakland,CA,Alameda County,94621,,,,0,232,30159.21,130,4,4,4,2,894,104641.89,117.05,,,,0,3527,456286.25,129.37,FALSE,FALSE,FALSE
19,77TH AVENUE STATION,Bus Rapid Transit,Alameda-Contra Costa Transit District (AC Transit),AC Transit Tempo,Simple At-Grade Platform Station,2020,1144,37.7579542,-122.1844515,"77th Avenue, Oakland, CA 94621, USA",Oakland,CA,Alameda County,94621,4,4,4,2,273,38094.61,139.54,,,,0,893,97655.01,109.36,,,,0,3505,470343.85,134.19,FALSE,FALSE,FALSE
20,82ND AVENUE STATION,Bus Rapid Transit,Alameda-Contra Costa Transit District (AC Transit),AC Transit Tempo,Simple At-Grade Platform Station,2020,1064,37.7555796,-122.1795624,"82nd Avenue, Oakland, CA 94621, USA",Oakland,CA,Alameda County,94621,,,,0,249,34050.53,136.75,,,,0,881,103003.71,116.92,4,4,4,2,3440,420235.62,122.16,FALSE,FALSE,FALSE
21,86TH AVENUE STATION,Bus Rapid Transit,Alameda-Contra Costa Transit District (AC Transit),AC Transit Tempo,Simple At-Grade Platform Station,2020,1144,37.752322,-122.176414,"8525 International Blvd, Oakland, CA 94621, USA",Oakland,CA,Alameda County,94621,,,,0,224,34949.71,156.03,,,,0,850,102588.68,120.69,4,4,4,2,3699,430709.88,116.44,FALSE,FALSE,FALSE
22,90TH AVENUE STATION,Bus Rapid Transit,Alameda-Contra Costa Transit District (AC Transit),AC Transit Tempo,Simple At-Grade Platform Station,2020,1216,37.7498158,-122.1746429,"8940 International Blvd, Oakland, CA 94621, USA",Oakland,CA,Alameda County,94621,,,,0,214,33209.19,155.18,4,4,4,2,913,104084.28,114,,,,0,3596,420855.47,117.03,FALSE,FALSE,FALSE
23,95TH AVENUE STATION,Bus Rapid Transit,Alameda-Contra Costa Transit District (AC Transit),AC Transit Tempo,Simple At-Grade Platform Station,2020,1144,37.745984,-122.17173,"95th Avenue, Oakland, CA 94603, USA",Oakland,CA,Alameda County,94603,4,4,4,2,259,35970.54,138.88,,,,0,800,96515.26,120.64,,,,0,3691,421028.75,114.07,FALSE,FALSE,FALSE
24,98TH AVENUE STATION,Bus Rapid Transit,Alameda-Contra Costa Transit District (AC Transit),AC Transit Tempo,Simple At-Grade Platform Station,2020,1144,37.73955,-122.1791,"98th Av & Past Railroad Crossing(N San Leandro St), Oakland, CA 94603, USA",Oakland,CA,Alameda County,94603,,,,0,51,22813.58,447.33,1,1,1,1,341,118159.63,346.51,2,2,2,1,2614,408057.15,156.1,FALSE,FALSE,FALSE
25,DOWNTOWN SAN LEANDRO  STATION,Bus Rapid Transit,Alameda-Contra Costa Transit District (AC Transit),AC Transit Tempo,Simple At-Grade Platform Station,2020,601,37.72499,-122.1589,"Davis St & Clarke St, San Leandro, CA 94577, USA",San Leandro,CA,Alameda County,94577,,,,0,120,31217.17,260.14,4,1,1.83,6,351,92926.77,264.75,4,1,1.71,14,2407,405657.31,168.53,FALSE,FALSE,FALSE
26,DURANT AVE STATION,Bus Rapid Transit,Alameda-Contra Costa Transit District (AC Transit),AC Transit Tempo,Simple At-Grade Platform Station,2020,1080,37.7359329,-122.1641759,"Durant Avenue, San Leandro, CA 94577, USA",San Leandro,CA,Alameda County,94577,2,2,2,2,187,38557.46,206.19,,,,0,791,110425.34,139.6,6,6,6,1,3831,418023.24,109.12,FALSE,FALSE,FALSE
27,EB CITY CENTER STATION,Bus Rapid Transit,Alameda-Contra Costa Transit District (AC Transit),AC Transit Tempo,Simple At-Grade Platform Station,2020,601,37.8024705,-122.2708314,"409 12th St, Oakland, CA 94607, USA",Oakland,CA,Alameda County,94607,40,1,9.97,33,55,58909.51,1071.08,21,1,5,72,186,149500.81,803.77,39,1,5.3,280,856,513615.37,600.02,TRUE,FALSE,FALSE
28,FRUITVALE STATION,Bus Rapid Transit,Alameda-Contra Costa Transit District (AC Transit),AC Transit Tempo,Simple At-Grade Platform Station,2020,1064,37.7767097,-122.223825,"1413 34th Ave, Oakland, CA 94601, USA",Oakland,CA,Alameda County,94601,2,2,2,1,147,39268.26,267.13,4,1,2.67,3,589,109423.28,185.78,6,1,3,3,2496,422361.54,169.22,FALSE,FALSE,FALSE
29,GEORGIA WAY STATION,Bus Rapid Transit,Alameda-Contra Costa Transit District (AC Transit),AC Transit Tempo,Simple At-Grade Platform Station,2020,626,37.73153,-122.16087,"530 E 14th St, San Leandro, CA 94577, USA",San Leandro,CA,Alameda County,94577,,,,0,244,36231.92,148.49,,,,0,869,98044.72,112.82,2,2,2,2,2858,401142.73,140.36,FALSE,FALSE,FALSE
30,HARRISON STATION,Bus Rapid Transit,Alameda-Contra Costa Transit District (AC Transit),AC Transit Tempo,Simple At-Grade Platform Station,2020,687,37.80045,-122.2679,"Harrison SB, Oakland, CA 94607, USA",Oakland,CA,Alameda County,94607,9,1,5.33,6,69,49790.02,721.59,40,1,5.05,73,276,144623.27,524,33,1,5.48,283,600,478777.65,797.96,FALSE,TRUE,FALSE
31,HIGH STREET STATION,Bus Rapid Transit,Alameda-Contra Costa Transit District (AC Transit),AC Transit Tempo,Simple At-Grade Platform Station,2020,1144,37.771576,-122.21326,"4500 International Blvd, Oakland, CA 94601, USA",Oakland,CA,Alameda County,94601,,,,0,140,35269.05,251.92,,,,0,405,94116.94,232.39,5,5,5,1,2681,429982.91,160.38,FALSE,FALSE,FALSE
32,SAN LEANDRO CIVIC CENTER STATION,Bus Rapid Transit,Alameda-Contra Costa Transit District (AC Transit),AC Transit Tempo,Simple At-Grade Platform Station,2020,601,37.728481,-122.158841,"830 E 14th St #1, San Leandro, CA 94577, USA",San Leandro,CA,Alameda County,94577,,,,0,209,33819.01,161.81,,,,0,730,109093.92,149.44,4,1,1.62,13,2284,373191.8,163.39,FALSE,FALSE,FALSE
